Trace,Search,Level,State,Event St.,Event end,Amplitud,Amp. SD,Dwell Time,Inst. Freq,Interval
,,,,,,,,,,
1,1,1,A,9820.740234,9844.139648,3.144714,0.353596,23.3993,N/A,Not found
1,1,0,AB,9844.139648,9844.230469,0.434595,0,0.091,N/A,Not found
1,1,1,A,9844.230469,9856.650391,3.110852,0.331711,12.42,42.570763,23.490299
1,1,0,A,9856.650391,9858.179688,-0.09658,0.227493,1.529,79.929665,12.511
1,1,1,A,9858.179688,9867.599609,3.138765,0.264966,9.42,71.689728,13.949
1,1,0,A,9867.599609,9868.860352,-0.154609,0.223234,1.261,91.332542,10.949
1,1,1,A,9868.860352,9873.209961,3.081508,0.307656,4.3495,93.624191,10.681
1,1,0,A,9873.209961,9873.360352,0.291595,0,0.1505,178.237228,5.6105
1,1,1,A,9873.360352,9893.759766,3.230827,0.324573,20.3995,222.222229,4.5
1,1,0,A,9893.759766,9896.549805,-0.106194,0.161652,2.79,48.6618,20.549999
1,1,1,A,9896.549805,9918,3.157734,0.337539,21.450001,43.122967,23.189501
1,1,0,A,9918,9920.339844,-0.009361,0.209022,2.34,41.254124,24.24
1,1,1,A,9920.339844,9920.700195,3.118736,0.303644,0.3602,42.03447,23.790001
1,1,0,A,9920.700195,9921.990234,0.054412,0.227208,1.29,370.342926,2.7002
1,1,1,A,9921.990234,9925.889648,3.101404,0.33344,3.8993,605.987183,1.6502
1,1,0,A,9925.889648,9926.759766,-0.06959,0.191769,0.8705,192.704224,5.1893
1,1,1,A,9926.759766,9931.769531,3.227406,0.334655,5.0095,209.65239,4.7698
1,1,0,A,9931.769531,9932.25,0.010861,0.118548,0.4805,170.068024,5.88
1,1,1,A,9932.25,9935.099609,3.23797,0.30662,2.8495,182.149368,5.49
1,1,0,A,9935.099609,9935.30957,0.247351,0.041528,0.21,300.300293,3.33
1,1,1,A,9935.30957,9942.450195,3.205957,0.273234,7.1407,326.8508,3.0595
1,1,0,A,9942.450195,9946.919922,-0.041204,0.195072,4.4698,136.041458,7.3507
1,1,1,A,9946.919922,9956.160156,3.176366,0.294047,9.2402,86.128937,11.6105
1,1,0,AB,9956.160156,9956.219727,1.514544,0,0.0593,72.939461,13.71
1,1,1,A,9956.219727,9971.040039,3.166329,0.280416,14.8205,107.532661,9.2995
1,1,0,AB,9971.040039,9971.099609,1.596941,0,0.0595,67.205208,14.8798
1,1,1,A,9971.099609,9976.830078,3.114895,0.271707,5.7306,67.2043,14.88
1,1,0,A,9976.830078,9980.519531,0.174252,0.22365,3.6894,172.708588,5.7901
1,1,1,A,9980.519531,9982.5,3.138191,0.384877,1.9805,106.157112,9.42
1,1,0,AB,9982.5,9982.55957,0.991014,0,0.0595,176.369949,5.6699
1,1,1,A,9982.55957,9991.019531,3.09104,0.319021,8.46,490.196075,2.04
1,1,0,A,9991.019531,9991.320313,-0.239659,0.134106,0.3007,117.377777,8.5195
1,1,1,A,9991.320313,10001.51953,3.133056,0.291811,10.1993,114.146133,8.7607
1,1,0,AB,10001.51953,10001.63965,0.204836,0,0.12,95.238098,10.5
1,1,1,A,10001.63965,10001.96973,3.385116,0.263523,0.33,96.9058,10.3193
1,1,0,A,10001.96973,10009.9502,-0.095777,0.191765,7.9807,2222.222168,0.45
1,1,1,A,10009.9502,10013.12988,3.085678,0.230875,3.1798,120.326805,8.3107
1,1,0,A,10013.12988,10019.19043,-0.089009,0.194915,6.0605,89.601723,11.1605
1,1,1,A,10019.19043,10019.42969,3.442286,0.379963,0.239,108.221596,9.2403
1,1,0,A,10019.42969,10020.24023,-0.01915,0.184593,0.8107,158.742752,6.2995
1,1,1,A,10020.24023,10020.50977,3.139092,0.16523,0.2698,952.653137,1.0497
1,1,0,A,10020.50977,10020.75,-0.068092,0.166368,0.24,925.497437,1.0805
1,1,1,A,10020.75,10053.66016,3.188431,0.321653,32.910198,1961.553589,0.5098
1,1,0,A,10053.66016,10053.87012,0.263213,0.062882,0.2099,30.165731,33.1502
1,1,1,A,10053.87012,10066.25977,3.200379,0.324954,12.3899,30.193146,33.120098
1,1,0,A,10066.25977,10068.54004,-0.063659,0.174839,2.28,79.366341,12.5998
1,1,1,A,10068.54004,10077.08984,3.184292,0.347116,8.55,68.166794,14.6699
1,1,0,A,10077.08984,10078.98047,-0.05843,0.21278,1.8905,92.336105,10.83
1,1,1,A,10078.98047,10080.54004,3.213628,0.298012,1.5595,95.780853,10.4405
1,1,0,A,10080.54004,10082.7002,-0.05307,0.163913,2.1602,289.855072,3.45
1,1,1,A,10082.7002,10087.37988,3.070918,0.319133,4.6798,268.838898,3.7197
1,1,0,A,10087.37988,10087.88965,0.387768,0.45893,0.5095,146.198837,6.84
1,1,1,A,10087.88965,10091.19043,3.17882,0.35184,3.301,192.704224,5.1893
1,1,0,AB,10091.19043,10091.30957,0.758044,0,0.119,262.432739,3.8105
1,1,1,A,10091.30957,10103.82031,3.200555,0.335424,12.5107,292.397675,3.42
1,1,0,A,10103.82031,10104.15039,-0.237526,0.190215,0.3303,79.178444,12.6297
1,1,1,A,10104.15039,10116,3.258533,0.254643,11.8495,77.875557,12.841
1,1,0,A,10116,10116.17969,0.307166,0.050927,0.1795,82.103157,12.1798
1,1,1,A,10116.17969,10125.12012,3.178543,0.335534,8.9406,83.132431,12.029
1,1,0,A,10125.12012,10128.20996,-0.099987,0.250818,3.0899,109.647919,9.1201
1,1,1,A,10128.20996,10133.63965,3.160029,0.294363,5.4295,83.122063,12.0305
1,1,0,A,10133.63965,10133.82031,0.091588,0.088043,0.1807,117.379158,8.5194
1,1,1,A,10133.82031,10148.63965,3.094871,0.322569,14.8193,178.246765,5.6102
1,1,0,AB,10148.63965,10148.7002,1.36179,0,0.0607,66.666664,15
1,1,1,A,10148.7002,10164.03027,3.11962,0.303802,15.33,67.2043,14.88
1,1,0,A,10164.03027,10164.33008,-0.214849,0.13488,0.2999,64.974304,15.3907
1,1,1,A,10164.33008,10192.98047,3.17686,0.377487,28.6504,63.979935,15.6299
1,1,0,A,10192.98047,10195.58984,-0.154329,0.179377,2.6095,34.541958,28.9503
1,1,1,A,10195.58984,10228.23047,3.066083,0.3421,32.640499,31.989866,31.259899
1,1,0,A,10228.23047,10228.44043,0.712286,0.140267,0.21,28.368793,35.25
1,1,1,A,10228.44043,10236.90039,3.138491,0.263643,8.46,30.440937,32.850498
1,1,0,A,10236.90039,10237.86035,0.717167,0.287583,0.96,115.340256,8.67
1,1,1,AB,10237.86035,10237.9502,1.398869,0,0.0897,106.157112,9.42
